model	deposition_date	method	resolution	distance_mean	distance_median
5w3m	2017-06-08	ELECTRON MICROSCOPY	None	1.5209711586641037	1.521113599714024
3jd1	2016-03-28	ELECTRON MICROSCOPY	None	1.517484140140974	1.5184014026297086
5nug	2017-04-30	ELECTRON MICROSCOPY	None	1.5256754570333113	1.526708583847114
6u9w	2019-09-09	ELECTRON MICROSCOPY	None	1.5216024785995719	1.5217677774107945
6owf	2019-05-09	ELECTRON MICROSCOPY	None	1.520663595052649	1.5206345480757633
5gae	2015-11-25	ELECTRON MICROSCOPY	None	1.5247297253896137	1.52423634388915
6e9z	2018-08-01	ELECTRON MICROSCOPY	None	1.5187843059652506	1.5185730113246076
6okp	2019-04-14	ELECTRON MICROSCOPY	None	1.5212238129838362	1.521243193882247
6dlw	2018-06-03	ELECTRON MICROSCOPY	None	1.5204656769448763	1.5207782753187575
6b1t	2017-09-18	ELECTRON MICROSCOPY	None	1.5210252576421341	1.52123016677959
5w5y	2017-06-16	ELECTRON MICROSCOPY	None	1.5225196675872288	1.521447971744836
6uro	2019-10-23	ELECTRON MICROSCOPY	None	1.520531140662152	1.5211559528517993
6c4h	2018-01-12	ELECTRON MICROSCOPY	None	1.5262402474545076	1.526427578966944
6e1p	2018-07-10	ELECTRON MICROSCOPY	None	1.5196311056282057	1.5198944367183782
5z3g	2018-01-06	ELECTRON MICROSCOPY	None	1.516698671907985	1.5171385767377659
6rjh	2019-04-26	ELECTRON MICROSCOPY	None	1.5269906191811569	1.5299735828773537
6e14	2018-07-09	ELECTRON MICROSCOPY	None	1.5197351912420314	1.5196498845929316
6uh7	2019-09-26	ELECTRON MICROSCOPY	None	1.5189165212150078	1.5189435902026842
6eu2	2017-10-27	ELECTRON MICROSCOPY	None	1.5236102600757453	1.5234168071136196
6re7	2019-04-12	ELECTRON MICROSCOPY	None	1.5188604843059557	1.5189986156942297
6d6q	2018-04-22	ELECTRON MICROSCOPY	None	1.520478105156825	1.5207671852745268
6cs4	2018-03-19	ELECTRON MICROSCOPY	None	1.5196219372308628	1.5198069127024039
6n3c	2018-11-14	ELECTRON MICROSCOPY	None	1.518023925957224	1.5176233531117513
6ab5	2018-07-20	ELECTRON MICROSCOPY	None	1.5209538273066168	1.5209862039295794
6of2	2019-03-28	ELECTRON MICROSCOPY	None	1.5214904167988312	1.5217837703173829
6cjq	2018-02-26	ELECTRON MICROSCOPY	None	1.5207015500368433	1.520697882334618
6ri5	2019-04-23	ELECTRON MICROSCOPY	None	1.5154948546900036	1.5154009502898835
6mdp	2018-09-04	ELECTRON MICROSCOPY	None	1.520411892667272	1.5204507773985054
6aku	2018-09-03	ELECTRON MICROSCOPY	None	1.5180972684881409	1.5181245860647798
6eiw	2017-09-19	ELECTRON MICROSCOPY	None	1.534250486577871	1.5348556599036718
6p4g	2019-05-27	ELECTRON MICROSCOPY	None	1.5328143252175046	1.5337142608212762
6rai	2019-04-06	ELECTRON MICROSCOPY	None	1.5233029574197807	1.52168350728461
6j3y	2019-01-07	ELECTRON MICROSCOPY	None	1.5179363318860948	1.518322419758572
6e9d	2018-07-31	ELECTRON MICROSCOPY	None	1.5223438300025247	1.5214471292309606
6i2i	2018-11-01	ELECTRON MICROSCOPY	None	1.519211643351402	1.5195942593101488
4v19	2014-09-25	ELECTRON MICROSCOPY	None	1.5249862799536165	1.5251505577511753
4v91	2014-03-21	ELECTRON MICROSCOPY	None	1.5260293838995618	1.5256649621111236
6oy9	2019-05-14	ELECTRON MICROSCOPY	None	1.5193717189005032	1.5192949587919629
5jzg	2016-05-16	ELECTRON MICROSCOPY	None	1.5183927604980871	1.5184247889716822
5w68	2017-06-16	ELECTRON MICROSCOPY	None	1.5205362665296158	1.5207184926383417
5gm6	2016-07-12	ELECTRON MICROSCOPY	None	1.5219288386106993	1.5235775634449347
5vf3	2017-04-06	ELECTRON MICROSCOPY	None	1.517339426027473	1.5177154386926845
6gct	2018-04-19	ELECTRON MICROSCOPY	None	1.5166559500163754	1.5166178785600604
6rqt	2019-05-16	ELECTRON MICROSCOPY	None	1.5210064848533886	1.5210405876125406
6rjd	2019-04-26	ELECTRON MICROSCOPY	None	1.5227770468774156	1.5226588759210355
6d9h	2018-04-29	ELECTRON MICROSCOPY	None	1.5228266816751759	1.5230908475071396
5w3l	2017-06-08	ELECTRON MICROSCOPY	None	1.518659622866418	1.518874207455359
3j4u	2013-10-09	ELECTRON MICROSCOPY	None	1.5196910059133328	1.5195605374857175
6u5w	2019-08-28	ELECTRON MICROSCOPY	None	1.516987085373787	1.517250448414654
5mv6	2017-01-15	ELECTRON MICROSCOPY	None	1.5188327992236703	1.5190594865026248
5m3m	2016-10-15	ELECTRON MICROSCOPY	None	1.5188348112129568	1.5184567060800196
5xnm	2017-05-23	ELECTRON MICROSCOPY	None	1.5187548232119732	1.5188824435167403
6s8f	2019-07-09	ELECTRON MICROSCOPY	None	1.519769639248475	1.5196298271386324
6r94	2019-04-02	ELECTRON MICROSCOPY	None	1.520997990316414	1.5211522931624213
6pbx	2019-06-14	ELECTRON MICROSCOPY	None	1.5208262088997988	1.5210517616325028
6c04	2017-12-27	ELECTRON MICROSCOPY	None	1.5190179355034716	1.5205049201024265
6ebm	2018-08-06	ELECTRON MICROSCOPY	None	1.5169659297763747	1.5175024586017098
6v1g	2019-11-20	ELECTRON MICROSCOPY	None	1.5175592558841895	1.5176943248292332
5g04	2016-03-16	ELECTRON MICROSCOPY	None	1.5288296281420972	1.5304634671777495
6r3a	2019-03-19	ELECTRON MICROSCOPY	None	1.5179412860308337	1.5179907608755565
6csa	2018-03-20	ELECTRON MICROSCOPY	None	1.5200048719150177	1.5197924049973501
5flm	2015-10-26	ELECTRON MICROSCOPY	None	1.5223443978172622	1.5226843476851286
6rvs	2019-05-31	ELECTRON MICROSCOPY	None	1.5216429903637005	1.5210881596656547
6q9a	2018-12-17	ELECTRON MICROSCOPY	None	1.520129688037235	1.5202068477821478
6kl9	2019-07-30	ELECTRON MICROSCOPY	None	1.5237456981318227	1.5235810170788926
6mzb	2018-11-04	ELECTRON MICROSCOPY	None	1.5231241908440813	1.5228244964178994
6agf	2018-08-11	ELECTRON MICROSCOPY	None	1.5184794169307383	1.5186558521862614
6dbu	2018-05-03	ELECTRON MICROSCOPY	None	1.5223780616562006	1.5226516489134059
5ac9	2015-08-14	ELECTRON MICROSCOPY	None	1.5123967831699314	1.5122048045779333
6fe8	2017-12-30	ELECTRON MICROSCOPY	None	1.5235060834980216	1.5233672940639846
6jyl	2019-04-26	ELECTRON MICROSCOPY	None	1.5205652721913152	1.5206528237241412
6mus	2018-10-23	ELECTRON MICROSCOPY	None	1.520510874029679	1.52049412390823
6e2r	2018-07-12	ELECTRON MICROSCOPY	None	1.517677065854532	1.5177968373534023
3j80	2014-08-28	ELECTRON MICROSCOPY	None	1.5269554671067114	1.5272405804792468
6c24	2018-01-06	ELECTRON MICROSCOPY	None	1.5216173474347263	1.5240621889494042
6me0	2018-09-05	ELECTRON MICROSCOPY	None	1.5181541741123294	1.517909706550841
6nbc	2018-12-06	ELECTRON MICROSCOPY	None	1.5202108028903119	1.520702540925671
6d6t	2018-04-22	ELECTRON MICROSCOPY	None	1.5213064675952588	1.5215297992678019
6f95	2017-12-14	ELECTRON MICROSCOPY	None	1.519422684075022	1.5194669769828761
5xb1	2017-03-15	ELECTRON MICROSCOPY	None	1.5199688466338033	1.5200826011644817
6uan	2019-09-11	ELECTRON MICROSCOPY	None	1.5196671992338862	1.5195584899595487
5a63	2015-06-24	ELECTRON MICROSCOPY	None	1.522832080167991	1.5234628398825083
6ois	2019-04-09	ELECTRON MICROSCOPY	None	1.5209671031859373	1.521001270466777
6gsi	2018-06-14	ELECTRON MICROSCOPY	None	1.5183337507626524	1.5183131060688069
6pij	2019-06-26	ELECTRON MICROSCOPY	None	1.5343438268892329	1.534928821496767
6i1y	2018-10-30	ELECTRON MICROSCOPY	None	1.5216450152100973	1.523997740622069
3zfs	2012-12-12	ELECTRON MICROSCOPY	None	nan	nan
5syf	2016-08-11	ELECTRON MICROSCOPY	None	1.525075935916568	1.5250907803029639
6tdv	2019-11-10	ELECTRON MICROSCOPY	None	1.5208487151332604	1.5210782909455718
3jcd	2015-12-01	ELECTRON MICROSCOPY	None	1.5204017420233427	1.5200971331850557
6jmq	2019-03-13	ELECTRON MICROSCOPY	None	1.521813512628154	1.5219672331929082
6pvk	2019-07-20	ELECTRON MICROSCOPY	None	1.5189190026463468	1.5186290530336504
3j7a	2014-06-03	ELECTRON MICROSCOPY	None	1.525750619049091	1.5260758276414244
6hzm	2018-10-23	ELECTRON MICROSCOPY	None	1.5196090824321133	1.5196660994965159
6msj	2018-10-16	ELECTRON MICROSCOPY	None	1.5201752046876373	1.5199606964879826
6a90	2018-07-11	ELECTRON MICROSCOPY	None	1.519888823796224	1.5198761542744057
6dpw	2018-06-09	ELECTRON MICROSCOPY	None	1.525295708908585	1.524860079786444
5o5j	2017-06-02	ELECTRON MICROSCOPY	None	1.5225587516622656	1.5229527209050104
3jae	2015-06-08	ELECTRON MICROSCOPY	None	1.524707594910858	1.5251921443030274
6hbk	2018-08-10	ELECTRON MICROSCOPY	None	1.5224260640431266	1.5225192048670606
6rr7	2019-05-17	ELECTRON MICROSCOPY	None	1.5208276277450865	1.5210301536440283
6nwp	2019-02-07	ELECTRON MICROSCOPY	None	1.5283720125512397	1.5281086401702089
6rla	2019-05-01	ELECTRON MICROSCOPY	None	1.5212827030428948	1.521407504260692
6tdw	2019-11-10	ELECTRON MICROSCOPY	None	1.521427002941703	1.5211492372569775
6ggs	2018-05-03	ELECTRON MICROSCOPY	None	1.5210988203485118	1.5209988578725862
6d1w	2018-04-12	ELECTRON MICROSCOPY	None	1.5187745280311253	1.5186216048788717
5iyd	2016-03-24	ELECTRON MICROSCOPY	None	1.5240839831575093	1.5251596159268164
5i68	2016-02-16	ELECTRON MICROSCOPY	None	1.5198002304057088	1.5201429669260242
6j0n	2018-12-25	ELECTRON MICROSCOPY	None	1.5209607843348179	1.5208620536256983
5tcq	2016-09-15	ELECTRON MICROSCOPY	None	1.5153171183513303	1.5151277946867676
6cv5	2018-03-27	ELECTRON MICROSCOPY	None	1.5192191872648872	1.5194330082945333
6hiy	2018-08-31	ELECTRON MICROSCOPY	None	1.5239177133264772	1.5239919152648713
6ig0	2018-09-21	ELECTRON MICROSCOPY	None	1.5201676947153235	1.5198874779547056
6osj	2019-05-01	ELECTRON MICROSCOPY	None	1.5170235507158567	1.5169972385549666
6bo4	2017-11-18	ELECTRON MICROSCOPY	None	1.5196201140880619	1.5195542284013492
5opt	2017-08-10	ELECTRON MICROSCOPY	None	1.5047618430225467	1.504647130507586
6t2v	2019-10-09	ELECTRON MICROSCOPY	None	1.5229817352132782	1.5233222027738176
6eri	2017-10-18	ELECTRON MICROSCOPY	None	1.5218849669602943	1.52207024694024
6coy	2018-03-13	ELECTRON MICROSCOPY	None	1.5173758233625945	1.517178510114092
6h3n	2018-07-19	ELECTRON MICROSCOPY	None	1.5115405408573988	1.511137305455544
6p2r	2019-05-21	ELECTRON MICROSCOPY	None	1.52191732189376	1.5219453514748889
5lj3	2016-07-17	ELECTRON MICROSCOPY	None	1.525845071934086	1.526348143792532
6sgb	2019-08-03	ELECTRON MICROSCOPY	None	1.5227243657321847	1.5227674683169539
6rx4	2019-06-07	ELECTRON MICROSCOPY	None	1.522795945931266	1.5227605449567636
6eoj	2017-10-09	ELECTRON MICROSCOPY	None	1.5271070842970944	1.5272177358651107
5zap	2018-02-08	ELECTRON MICROSCOPY	None	1.5147641913784518	1.5166772739379308
6u42	2019-08-22	ELECTRON MICROSCOPY	None	1.5191838582055048	1.519232352494644
6rn3	2019-05-07	ELECTRON MICROSCOPY	None	1.5193886629951103	1.5198550683318939
6r7x	2019-03-29	ELECTRON MICROSCOPY	None	1.5227601958410844	1.522704131808987
6mhu	2018-09-18	ELECTRON MICROSCOPY	None	1.5214350936508783	1.5215314282985943
5tcu	2016-09-15	ELECTRON MICROSCOPY	None	1.5185923299377884	1.5187527229203148
5irz	2016-03-15	ELECTRON MICROSCOPY	None	1.5198266560402622	1.5196876071557026
6qlf	2019-01-31	ELECTRON MICROSCOPY	None	1.522944032352399	1.5230507478171893
6fbv	2017-12-19	ELECTRON MICROSCOPY	None	1.522094401008276	1.522569176700449
5t62	2016-09-01	ELECTRON MICROSCOPY	None	1.5308365012500627	1.531379266849696
6pzw	2019-08-01	ELECTRON MICROSCOPY	None	1.514418008951562	1.5145892222215034
5w66	2017-06-16	ELECTRON MICROSCOPY	None	1.520025292793039	1.5186077695297706
5wf0	2017-07-11	ELECTRON MICROSCOPY	None	1.5304077399103282	1.5307374990332903
6dbr	2018-05-03	ELECTRON MICROSCOPY	None	1.5218205154809743	1.5220125933699495
5xs7	2017-06-12	ELECTRON MICROSCOPY	None	1.5180520631054168	1.5180863532188056
5zlu	2018-03-29	ELECTRON MICROSCOPY	None	nan	1.5210047214930775
5x58	2017-02-15	ELECTRON MICROSCOPY	None	1.5213505573801407	1.5213992039019117
5vy3	2017-05-24	ELECTRON MICROSCOPY	None	1.5204175828287578	1.5207340971660748
6hlr	2018-09-11	ELECTRON MICROSCOPY	None	1.5206110069786933	1.5206825341857289
5fn4	2015-11-10	ELECTRON MICROSCOPY	None	1.5259832117611372	1.5256530582971288
6nj8	2019-01-02	ELECTRON MICROSCOPY	None	1.520505168520321	1.5199070757763309
5x0x	2017-01-23	ELECTRON MICROSCOPY	None	1.5172301102509094	1.517237387484403
6aks	2018-09-03	ELECTRON MICROSCOPY	None	1.5188894446987147	1.519018811090978
5xxb	2017-07-03	ELECTRON MICROSCOPY	None	1.5288109495581335	1.5294600351912317
6esb	2017-10-20	ELECTRON MICROSCOPY	None	1.5203169990231986	1.5204833986702566
6n2p	2018-11-13	ELECTRON MICROSCOPY	None	1.5211651263693449	1.5211192181386557
6k4y	2019-05-27	ELECTRON MICROSCOPY	None	1.5196932882828043	1.519806092126401
3j7w	2014-08-12	ELECTRON MICROSCOPY	None	1.5251412463154437	1.5250493139300794
6g1s	2018-03-21	ELECTRON MICROSCOPY	None	1.520073558465503	1.5201843548900433
6cue	2018-03-26	ELECTRON MICROSCOPY	None	1.5198730966799046	1.519942288177718
6o58	2019-03-01	ELECTRON MICROSCOPY	None	1.5229038123203926	1.5229066634393313
6ssl	2019-09-08	ELECTRON MICROSCOPY	None	1.5208142980582535	1.5209223802103082
6u86	2019-09-04	ELECTRON MICROSCOPY	None	1.5198393012791365	1.5200559736252508
6n4v	2018-11-20	ELECTRON MICROSCOPY	None	1.5218036176408714	1.521819195408702
6ifr	2018-09-21	ELECTRON MICROSCOPY	None	1.5211185238849938	1.5209801354391237
6pw4	2019-07-22	ELECTRON MICROSCOPY	None	1.5211347287529502	1.5211268275615124
3jbs	2015-10-13	ELECTRON MICROSCOPY	None	1.5216850832117303	1.5214589912627112
6cvb	2018-03-27	ELECTRON MICROSCOPY	None	1.5190851143487187	1.5194023820287716
6dz7	2018-07-03	ELECTRON MICROSCOPY	None	1.5200403079950513	1.5198437154877023
6dpu	2018-06-09	ELECTRON MICROSCOPY	None	1.5259653083527391	1.5254798126151585
3j81	2014-08-29	ELECTRON MICROSCOPY	None	1.5287460396983115	1.52895494730985
5aj4	2015-02-20	ELECTRON MICROSCOPY	None	1.5241145831698795	1.5248687672417556
6p18	2019-05-19	ELECTRON MICROSCOPY	None	1.5236951486477284	1.5238708901295743
6kj6	2019-07-21	ELECTRON MICROSCOPY	None	1.520377952936387	1.5205768327865843
6dzu	2018-07-05	ELECTRON MICROSCOPY	None	1.519159711872991	1.51955997153479
5mlc	2016-12-06	ELECTRON MICROSCOPY	None	1.528382496786188	1.528218894664699
6cv1	2018-03-27	ELECTRON MICROSCOPY	None	1.5200098630498662	1.5201630866139793
6kg7	2019-07-11	ELECTRON MICROSCOPY	None	1.5225530012840225	1.5225962282975594
6spc	2019-09-01	ELECTRON MICROSCOPY	None	1.5210640198327128	1.5212505394101852
6dju	2018-05-26	ELECTRON MICROSCOPY	None	1.5213067213239841	1.5212270847548044
6agb	2018-08-10	ELECTRON MICROSCOPY	None	1.524116904946697	1.5242559352419378
6n7i	2018-11-27	ELECTRON MICROSCOPY	None	1.5226476466777594	1.5229214740441783
6qkl	2019-01-29	ELECTRON MICROSCOPY	None	1.5206291320031142	1.5206865230603948
3jbv	2015-10-16	ELECTRON MICROSCOPY	None	1.5240345076536004	1.5240083652648155
6nph	2019-01-17	ELECTRON MICROSCOPY	None	1.520703890137049	1.5208292078894374
6p6w	2019-06-04	ELECTRON MICROSCOPY	None	1.5234003064697412	1.5233970605064633
6dde	2018-05-10	ELECTRON MICROSCOPY	None	1.5218002420580345	1.522155577343234
6g8z	2018-04-10	ELECTRON MICROSCOPY	None	1.522584138688523	1.522401938461437
6nm9	2019-01-10	ELECTRON MICROSCOPY	None	1.5199070680074553	1.520228239107017
6r21	2019-03-15	ELECTRON MICROSCOPY	None	1.5169325920330008	1.5191559634583123
6u9g	2019-09-08	ELECTRON MICROSCOPY	None	1.521710383456743	1.5214150173320635
6hls	2018-09-11	ELECTRON MICROSCOPY	None	1.5207913671607451	1.5208783432674922
5w9p	2017-06-23	ELECTRON MICROSCOPY	None	1.5185896256319187	1.5180832017225314
5vfs	2017-04-09	ELECTRON MICROSCOPY	None	1.520412347401764	1.5203407195939223
6qnu	2019-02-12	ELECTRON MICROSCOPY	None	1.522077527237193	1.5218972112068372
6u62	2019-08-29	ELECTRON MICROSCOPY	None	1.5218593458061858	1.521997057279684
6fed	2018-01-01	ELECTRON MICROSCOPY	None	1.5301167532422977	1.5306058511707428
3j9g	2015-01-16	ELECTRON MICROSCOPY	None	1.5192696282780058	1.519202927819281
6pz9	2019-07-31	ELECTRON MICROSCOPY	None	1.5202287178129443	1.5206784374697304
6mwq	2018-10-30	ELECTRON MICROSCOPY	None	1.5225800332964339	1.5230566628522686
6hjp	2018-09-04	ELECTRON MICROSCOPY	None	1.5302689923893311	1.5307337751137573
5mm2	2016-12-08	ELECTRON MICROSCOPY	None	1.519562731295485	1.5194106571553245
6jp8	2019-03-26	ELECTRON MICROSCOPY	None	1.5206384883121609	1.521447041767296
6ddd	2018-05-10	ELECTRON MICROSCOPY	None	1.5189673467636362	1.5192000155178755
5o09	2017-05-16	ELECTRON MICROSCOPY	None	1.5211194538404993	1.5213918984394912
6msb	2018-10-16	ELECTRON MICROSCOPY	None	1.519848856281167	1.5196455176140347
6c0v	2018-01-02	ELECTRON MICROSCOPY	None	1.531195271551387	1.5314478219174603
6pby	2019-06-14	ELECTRON MICROSCOPY	None	1.520602220115753	1.5208390027693532
6dra	2018-06-11	ELECTRON MICROSCOPY	None	1.5227545116354693	1.5228411061138443
6ogf	2019-04-02	ELECTRON MICROSCOPY	None	1.5242101010197324	1.5246892098235743
6qd7	2019-01-01	ELECTRON MICROSCOPY	None	1.5236089340599446	1.523319433219094
5tqq	2016-10-24	ELECTRON MICROSCOPY	None	1.5271624436621627	1.5272645640148332
6n30	2018-11-14	ELECTRON MICROSCOPY	None	1.5207384913846647	1.5212600331373838
6dbi	2018-05-03	ELECTRON MICROSCOPY	None	1.5219015965739309	1.5220167675278924
6re8	2019-04-12	ELECTRON MICROSCOPY	None	1.5215387040389021	1.5216851245080132
6f5j	2017-12-01	ELECTRON MICROSCOPY	None	1.5222357706970544	1.5221368415070518
6u23	2019-08-19	ELECTRON MICROSCOPY	None	1.520733513462727	1.5206362292847821
6npj	2019-01-17	ELECTRON MICROSCOPY	None	1.5206058845812351	1.520543623142427
6jbj	2019-01-25	ELECTRON MICROSCOPY	None	1.5195696210591103	1.5190615087076493
6d5f	2018-04-19	ELECTRON MICROSCOPY	None	1.5220772243473024	1.5223633802283092
3jc1	2015-11-09	ELECTRON MICROSCOPY	None	1.5212567533912813	1.5206932936360271
6n24	2018-11-12	ELECTRON MICROSCOPY	None	1.5195419233002003	1.5195734301820627
6hiq	2018-08-30	ELECTRON MICROSCOPY	None	1.5213126327305253	1.5212861144565017
6o20	2019-02-22	ELECTRON MICROSCOPY	None	1.519549655707471	1.5194573888173843
5wk1	2017-07-24	ELECTRON MICROSCOPY	None	1.5205189882038042	1.5207909924123022
6re4	2019-04-12	ELECTRON MICROSCOPY	None	1.5179973467964374	1.5181574679993162
6bo5	2017-11-18	ELECTRON MICROSCOPY	None	1.5230266494179188	1.5230250035773798
5imq	2016-03-06	ELECTRON MICROSCOPY	None	1.5156735950942135	1.5160445798931388
5a22	2015-05-06	ELECTRON MICROSCOPY	None	1.524625390867036	1.5244067946100213
6sk7	2019-08-14	ELECTRON MICROSCOPY	None	1.513975631509665	1.5137768514496215
6cs5	2018-03-19	ELECTRON MICROSCOPY	None	1.5199420595073505	1.5199947059518442
6tny	2019-12-10	ELECTRON MICROSCOPY	None	1.52221582296593	1.5222217100105442
5muu	2017-01-14	ELECTRON MICROSCOPY	None	1.5173163313656046	1.5175197552044346
6drj	2018-06-12	ELECTRON MICROSCOPY	None	1.523400023126101	1.5233517387097093
6t83	2019-10-24	ELECTRON MICROSCOPY	None	1.5139376439124865	1.5143951838230034
5szs	2016-08-15	ELECTRON MICROSCOPY	None	1.516093292405467	1.5160922349246078
6diz	2018-05-24	ELECTRON MICROSCOPY	None	1.520897939373168	1.5209036442851103
6hum	2018-10-09	ELECTRON MICROSCOPY	None	1.5212442045689498	1.5214189916611252
5jlh	2016-04-27	ELECTRON MICROSCOPY	None	1.512040780236284	1.5112312646160384
6gx5	2018-06-26	ELECTRON MICROSCOPY	None	1.5203670527254531	1.5187807791952013
6crz	2018-03-19	ELECTRON MICROSCOPY	None	1.5208593831176027	1.5209606567589824
6f1t	2017-11-23	ELECTRON MICROSCOPY	None	nan	1.5151374588232172
5us7	2017-02-13	ELECTRON MICROSCOPY	None	1.5193139195983028	1.5186222731880257
6hbh	2018-08-10	ELECTRON MICROSCOPY	None	1.5223755027043153	1.5224690137104124
6nqd	2019-01-21	ELECTRON MICROSCOPY	None	1.5194347208866508	1.5193822667093706
