model	date	method	resolution	distance_mean	distance_median
3ezmH	1998-12-15	x-ray diffraction	1.5	1.522544468330283	1.523119459015982
1smdH	1996-01-24	x-ray diffraction	1.6	1.5250878555179506	1.525410737014522
1fkjH	1995-08-18	x-ray diffraction	1.7	1.5218300150370911	1.522149070081416
1m6pAH	1998-04-19	x-ray diffraction	1.8	1.5233398215891734	1.5231444764313702
1euwH	2000-04-17	x-ray diffraction	1.05	1.5199011585840059	1.5199766076607784
2sn3H	1992-02-20	x-ray diffraction	1.2	1.522000988801578	1.5180149565189665
1becH	1995-02-28	x-ray diffraction	1.7	1.526026605947578	1.525222558059497
1t1dH	1998-09-22	x-ray diffraction	1.51	1.520545330735298	1.521951938206785
1c5eAH	1999-11-18	x-ray diffraction	1.1	1.5206656510703835	1.5227813677091282
1b4kAH	1998-12-22	x-ray diffraction	1.67	1.52344869783888	1.523138783592864
1cy5H	1999-08-31	x-ray diffraction	1.3	nan	1.5231379527853826
1bm8H	1998-07-29	x-ray diffraction	1.71	1.5269880784243919	1.5262091773771054
1tcaH	1994-02-28	x-ray diffraction	1.55	1.5283037601234226	1.5282219210942416
1ctjH	1995-08-08	x-ray diffraction	1.1	1.5214227757538772	1.5216740154605373
1ajsAH	1997-05-08	x-ray diffraction	1.6	1.526175007813238	1.5259138362037903
1dbwBH	1999-11-03	x-ray diffraction	1.6	1.5239574262432174	1.524686627799732
1behBH	1998-05-14	x-ray diffraction	1.75	1.524590750760512	1.5243366988648717
1qtsH	1999-06-29	x-ray diffraction	1.4	1.5218259314776672	1.5229362784790659
1b16AH	1998-11-25	x-ray diffraction	1.4	1.5234061860101484	1.523264595991663
153lH	1994-05-05	x-ray diffraction	1.6	1.5209179126371282	1.5211610680204433
1smlH	1998-09-22	x-ray diffraction	1.7	1.5271941196240035	1.5267411112734852
2pthH	1997-03-25	x-ray diffraction	1.2	1.5302703144171874	1.529969506931487
1cxyH	1999-08-31	x-ray diffraction	1.65	1.5214723171657698	1.521653574012343
1ygeH	1996-06-04	x-ray diffraction	1.4	1.5287879350322269	1.5289225885190416
1qe3H	1999-07-12	x-ray diffraction	1.5	1.5244703086230469	1.5248606055523362
1dqsAH	1998-04-09	x-ray diffraction	1.8	1.524275080041948	1.5248307763751316
1vsrH	1999-02-13	x-ray diffraction	1.8	1.5256058420719991	1.525802494266654
1hfcH	1994-09-13	x-ray diffraction	1.56	1.5263680482020987	1.5267447461210406
1bgfH	1998-05-28	x-ray diffraction	1.45	1.5304569734642637	1.5297214759417024
1ampH	1994-04-22	x-ray diffraction	1.8	1.5235594259422578	1.523697019195476
1tgxAH	1993-11-24	x-ray diffraction	1.55	1.528865708269696	1.5293515847123431
1ifcH	1991-12-19	x-ray diffraction	1.19	1.5185997426616733	1.5196136726282965
1oncH	1993-08-30	x-ray diffraction	1.7	1.5287861781850032	1.5306274299649392
1qreH	1999-06-13	x-ray diffraction	1.46	1.521063082978141	1.5212681975300848
2nlrH	1998-11-02	x-ray diffraction	1.2	1.5184240692856052	1.518605971852221
1cnzBH	1999-05-24	x-ray diffraction	1.76	1.5284888341768577	1.5292214037388465
1bbzEFH	1998-04-28	x-ray diffraction	1.65	1.5242059295324513	1.5249887149438743
1guqAH	1996-10-23	x-ray diffraction	1.8	1.5195905671318461	1.5185820035075186
1sluH	1996-02-07	x-ray diffraction	1.8	1.5242091493824994	1.5241625652368482
1aqbH	1997-07-28	x-ray diffraction	1.65	1.5256987823195949	1.5254277419710995
5hpgAH	1997-09-19	x-ray diffraction	1.66	1.5300093237161139	1.5321904703459177
1molAH	1993-04-27	x-ray diffraction	1.7	1.5211378999654552	1.5225220183526158
1aqzAH	1997-08-04	x-ray diffraction	1.7	1.5253455082035945	1.5242258715381087
1qh5AH	1999-05-11	x-ray diffraction	1.45	1.5242967809335313	1.5239691975111302
1a28BH	1998-01-19	x-ray diffraction	1.8	1.5260188742542689	1.5265622852398588
1vnsH	1999-01-14	x-ray diffraction	1.66	1.5259448601020025	1.5261410928715031
1c90AH	1999-08-03	x-ray diffraction	1.17	1.5192734613728534	1.5195631075327407
2pvbH	1998-10-02	x-ray diffraction	0.91	1.5222335827960256	1.5203694020188006
1qsaH	1999-06-20	x-ray diffraction	1.65	1.5294337740107324	1.5300141445802184
1flpH	1994-05-16	x-ray diffraction	1.5	1.5274439918201248	1.527586776722933
1cmbAH	1992-08-28	x-ray diffraction	1.8	1.5263364499331955	1.527058313791379
5p21H	1990-04-30	x-ray diffraction	1.35	1.5262192312232135	1.5255167483895944
8rucAIH	1996-02-22	x-ray diffraction	1.6	1.5255321285451187	1.5257198624169583
1b6gH	1999-01-14	x-ray diffraction	1.15	1.5193664883543476	1.5191465091569873
3grsH	1988-02-05	x-ray diffraction	1.54	1.5194983423547723	1.5204675625096693
1bkrH	1998-07-10	x-ray diffraction	1.1	1.5208113114363966	1.5200720541863915
1jerH	1996-08-21	x-ray diffraction	1.6	1.5261585386106824	1.5259149977411883
2ctcH	1993-04-02	x-ray diffraction	1.4	1.5261108028795618	1.5264833090984615
1bsmAH	1998-08-28	x-ray diffraction	1.35	1.526149276098933	1.526598890584104
1ttbAH	1992-11-02	x-ray diffraction	1.7	1.5260146911914596	1.5258063037777971
2kntH	1997-01-15	x-ray diffraction	1.2	1.5189323604189564	1.520540959462962
1qhfAH	1999-05-13	x-ray diffraction	1.7	1.5240188709603306	1.5233926381631684
1qh8AH	1999-05-11	x-ray diffraction	1.6	1.5217284045142345	1.5219204016965702
1cf9BH	1999-03-24	x-ray diffraction	1.8	1.5231154651450547	1.5224687408473376
1rgeAH	1995-06-05	x-ray diffraction	1.15	1.5176634395605768	1.5144950461590132
2ahjDH	1997-12-24	x-ray diffraction	1.7	1.5209598502503225	1.5205679300114427
1orcH	1995-10-30	x-ray diffraction	1.54	1.5167721778264627	1.5163076457082534
2ahjCH	1997-12-24	x-ray diffraction	1.7	1.5225888113001969	1.5236331169296804
1erxH	2000-04-06	x-ray diffraction	1.4	1.5235480382358295	1.523688118606052
1bxoH	1998-10-07	x-ray diffraction	0.95	1.5270841892103537	1.5277384832392833
1ceqH	1999-03-10	x-ray diffraction	1.0	1.5235838098715704	1.5236262523925872
3proCH	1998-08-26	x-ray diffraction	1.8	1.5241957377059174	1.524679129201023
1amfH	1997-06-13	x-ray diffraction	1.75	1.527444485202217	1.5276284377849663
1ecoH	1979-03-07	x-ray diffraction	1.4	1.5271777277183842	1.5282614033997932
1cydAH	1995-09-01	x-ray diffraction	1.8	1.5262787703494947	1.5262727975106896
1a12AH	1997-12-19	x-ray diffraction	1.7	1.5237339297443606	1.523328909852159
1fxdH	1991-04-08	x-ray diffraction	1.7	1.5240376166612564	1.5264563514306928
1svfABH	1999-02-27	x-ray diffraction	1.4	1.5261985970251997	1.5258408685868372
1cgoH	1995-05-01	x-ray diffraction	1.8	1.5217750675391561	1.5206997800438526
5cytH	1988-01-14	x-ray diffraction	1.5	1.5284028502226898	1.5275199083946018
1bd0AH	1998-05-12	x-ray diffraction	1.6	1.5258054744001668	1.5258459955245558
1cruAH	1999-08-16	x-ray diffraction	1.5	1.5245524549973917	1.524672926309949
1a73AH	1998-03-19	x-ray diffraction	1.8	1.5251796616890194	1.5254074909218365
1benABH	1996-02-15	x-ray diffraction	1.4	1.5230088688597638	1.5222679530498757
3cyrH	1997-07-24	x-ray diffraction	1.6	1.5208466119808768	1.5192439599061274
1df4H	1999-11-17	x-ray diffraction	1.45	1.5166297858058775	1.5151991900195354
1psrAH	1997-11-27	x-ray diffraction	1.05	1.5215566936440867	1.5200735428788346
1nzyBH	1996-04-02	x-ray diffraction	1.8	1.5188366401263738	1.5178879649783463
1ay7BH	1997-11-14	x-ray diffraction	1.7	1.525903808723678	1.5246502500756534
1bx7H	1998-10-14	x-ray diffraction	1.2	1.5221116556519514	1.5208306550329036
1atzAH	1997-08-15	x-ray diffraction	1.8	1.525917399262867	1.5262137432014788
1pefH	1995-06-19	x-ray diffraction	1.5	1.5343391817077605	1.5346645545228248
1ushH	1998-09-16	x-ray diffraction	1.73	1.5266443434495753	1.5262706601752936
1tc1BH	1998-09-30	x-ray diffraction	1.41	1.5273659556783057	1.5270952628474737
2cypH	1985-08-27	x-ray diffraction	1.7	1.5242143058598665	1.5208465822237915
1qgwBDH	1999-05-10	x-ray diffraction	1.63	1.5229751998750298	1.5228807618774585
1ajjH	1997-05-04	x-ray diffraction	1.7	1.5234369575659017	1.5212970562994523
1d7pH	1999-10-19	x-ray diffraction	1.5	1.5244473199976112	1.5242354530718976
3htsBH	1998-11-16	x-ray diffraction	1.75	1.5268511961925024	1.5264266258584902
2garH	1998-05-13	x-ray diffraction	1.8	1.526126498915744	1.5263450418976245
1d2nH	1998-06-30	x-ray diffraction	1.75	1.5243379035860873	1.524837760490487
1lamH	1995-08-11	x-ray diffraction	1.6	1.5300098961799713	1.529842842126592
1qq4H	1999-06-10	x-ray diffraction	1.2	1.523343418269334	1.5242827400302108
1vcaAH	1995-03-21	x-ray diffraction	1.8	1.531258869860447	1.5312254387181827
1dgfAH	1999-11-24	x-ray diffraction	1.5	1.5274982617058626	1.5279218779077595
1b0yH	1998-11-15	x-ray diffraction	0.93	1.5224681434674059	1.5226309960437445
1a4iBH	1998-01-30	x-ray diffraction	1.5	1.5235593060125172	1.5228221580086398
2porH	1992-04-24	x-ray diffraction	1.8	1.5207896985827416	1.5215168834876387
1notH	1996-05-02	x-ray diffraction	1.2	1.5205463942317325	1.5166558084776807
1tudH	1996-02-29	x-ray diffraction	1.77	1.5229733275422317	1.5222888705183264
451cH	1981-07-20	x-ray diffraction	1.6	1.527364091177288	1.5276478720689384
1bu7AH	1998-09-14	x-ray diffraction	1.65	1.5240708518732757	1.5241193630124186
1aieH	1997-04-17	x-ray diffraction	1.5	1.526343302447297	1.5243086980898903
1a2pAH	1998-01-07	x-ray diffraction	1.5	1.5216660533994046	1.5233657122891076
1ak0H	1997-05-28	x-ray diffraction	1.8	1.5265266808147457	1.5265385640069777
1gdoBFH	1996-04-05	x-ray diffraction	1.8	1.5222042639494642	1.5232814373466979
1cxqH	1999-08-30	x-ray diffraction	1.02	1.5185021687400957	1.5177891156225636
1bqcH	1998-08-12	x-ray diffraction	1.5	1.5222895547823503	1.5225608062782825
1bdmBH	1993-02-16	x-ray diffraction	1.8	1.5197144235093032	1.5181300772937478
1toaAH	1999-03-03	x-ray diffraction	1.8	1.5271010366232525	1.5283291169090443
1qfmH	1999-04-12	x-ray diffraction	1.4	1.5242261240592263	1.5245415254841603
1dptAH	1998-05-11	x-ray diffraction	1.54	1.5236434512297592	1.523872202804988
1ckeH	1998-09-24	x-ray diffraction	1.75	1.5298474959862773	1.5278232440517028
1cb0H	1999-02-26	x-ray diffraction	1.7	1.5282365898746235	1.528667659928535
1hxnH	1995-06-01	x-ray diffraction	1.8	1.5177945541444564	1.5195825374712402
1qrrH	1999-06-15	x-ray diffraction	1.6	1.5252658744533372	1.5255836745260787
1dosAH	1996-06-24	x-ray diffraction	1.67	1.5260022824724329	1.5267029870772724
1qd1BH	1999-07-08	x-ray diffraction	1.7	1.5240263065292878	1.524863437820033
1fltYH	1997-11-20	x-ray diffraction	1.7	1.528532278634447	1.5267630566954047
1adsH	1992-07-08	x-ray diffraction	1.6	1.5244379180725078	1.5242841349891314
1hfeSLH	1998-11-11	x-ray diffraction	1.6	nan	1.5246674095213533
2endH	1994-08-08	x-ray diffraction	1.45	1.5246336450526097	1.5251775826993623
1kptAH	1995-06-06	x-ray diffraction	1.75	1.5232962620031103	1.5226496217568846
1a8dH	1998-03-23	x-ray diffraction	1.57	1.5242928419300397	1.5244723859014124
1dinH	1996-03-14	x-ray diffraction	1.8	1.5298666051838024	1.523914208082962
1aayH	1997-01-18	x-ray diffraction	1.6	1.5260526439388382	1.526679905604311
1aohBH	1997-07-03	x-ray diffraction	1.7	1.5261840582041764	1.5255978446410263
1b3aAH	1998-12-07	x-ray diffraction	1.6	1.5222291168873412	1.5224231305241214
1rb9H	1997-12-21	x-ray diffraction	0.92	1.5134452914966863	1.5159215094509286
1poaH	1992-09-07	x-ray diffraction	1.5	1.5315453922620132	1.532852491083303
1bfgH	1993-04-15	x-ray diffraction	1.6	1.525630123209717	1.5263957770141396
2erlH	1995-12-20	x-ray diffraction	1.0	1.51835826666052	1.5186032924996384
1ixhH	1996-08-01	x-ray diffraction	0.98	1.5190143658562005	1.5192546120447834
1svyH	1998-08-10	x-ray diffraction	1.75	1.524832034128217	1.5241720880304164
1hclH	1996-06-03	x-ray diffraction, single crystal	1.8	1.52838241628715	1.5279371496029723
3pviAH	1998-10-09	x-ray diffraction	1.59	1.5367475515981575	1.538352292655175
1btkAH	1997-07-01	x-ray diffraction	1.6	1.5252195815020295	1.5256227486755258
1arbH	1993-04-15	x-ray diffraction	1.2	1.5229787755953206	1.523621149413044
1qh8BH	1999-05-11	x-ray diffraction	1.6	1.5232479536363621	1.5223311132279638
1bpiH	1995-02-18	x-ray diffraction	1.1	1.5158023055898462	1.5135956736740375
1akrH	1997-05-27	x-ray diffraction	1.58	1.5247671574819919	1.5249417723426795
2cplH	1992-06-30	x-ray diffraction	1.63	1.5221134177867905	1.5213192918248428
1dpsDH	1998-02-23	x-ray diffraction	1.6	1.5350919553077753	1.5359961200132757
1uchH	1997-10-06	x-ray diffraction	1.8	1.528065301719358	1.5285218796721503
1gofH	1993-09-30	x-ray diffraction	1.7	1.529989756425512	1.529518548170592
2mcmH	1991-05-08	x-ray diffraction	1.5	1.52340010491733	1.5223080158143034
1ptfH	1993-10-04	x-ray diffraction	1.6	1.5318952633103404	1.5305000294408446
2arcBH	1996-10-29	x-ray diffraction	1.5	1.5264230301358797	1.5270696720838548
1sbpH	1993-07-19	x-ray diffraction	1.7	1.528217064909384	1.5270459656244768
2engH	1995-06-29	x-ray diffraction	1.5	nan	1.5256250884497797
1c52H	1997-06-23	x-ray diffraction	1.28	1.5270775736341513	1.5281829438282517
1a6mH	1998-02-26	x-ray diffraction	1.0	1.5199272376997757	1.5200735086799886
1ervH	1996-02-07	x-ray diffraction	1.65	1.5260528687605834	1.5264683798339016
1pymAH	1999-02-25	x-ray diffraction	1.8	1.52875852252408	1.5284621435653056
1pmiH	1996-04-03	x-ray diffraction	1.7	1.5221147051795183	1.5219743545858295
2bbkLH	1993-12-17	x-ray diffraction	1.75	1.5171538258294957	1.5168019756187983
2lisH	1999-04-16	x-ray diffraction	1.35	1.5225609771147193	1.5221358917011223
1bg2H	1998-06-04	x-ray diffraction	1.8	1.5234491338873055	1.523480013076701
1pcfAH	1997-09-09	x-ray diffraction	1.74	1.5253795510395487	1.5264272203660347
1lbuH	1996-03-16	x-ray diffraction	1.8	1.5280624962053897	1.5279110194266934
2trxAH	1990-03-19	x-ray diffraction	1.68	1.5216660822546135	1.5216883974511737
1bf4AH	1998-05-27	x-ray diffraction	1.6	1.5265802491794034	1.5278787649452483
1edmBH	1996-03-21	x-ray diffraction	1.5	1.5226107536759264	1.523312989038276
1phnAH	1995-06-21	x-ray diffraction	1.65	1.5266581324901187	1.5265498661537196
1kp6H	1999-05-28	x-ray diffraction	1.8	1.5245297039225552	1.524103262013938
1qnjH	1999-10-15	x-ray diffraction	1.1	1.5198714545309435	1.5209851415341138
1fasH	1992-08-07	x-ray diffraction	1.8	1.5262877502771541	1.5274953860272653
1qlwAH	1999-09-17	x-ray diffraction	1.1	1.5208450485005764	1.5213589496540227
1c3wH	1999-07-28	x-ray diffraction	1.55	1.517747967635948	1.5193801707280823
1c75H	2000-02-09	x-ray diffraction	0.97	1.5189634706042932	1.5199185017021017
2ilkH	1996-07-01	x-ray diffraction	1.6	1.5280503264149163	1.5265754406692749
1tyvH	1996-07-26	x-ray diffraction	1.8	1.525523651496369	1.525603587888606
1b67AH	1999-01-19	x-ray diffraction	1.48	1.522339296203412	1.522160013715947
1aruH	1995-04-25	x-ray diffraction	1.6	1.5235852782107744	1.5238316318706704
2dpmH	1998-09-03	x-ray diffraction	1.8	1.5272325642378455	1.527505204374992
1cpqH	1995-08-14	x-ray diffraction	1.72	1.5274629845405672	1.5280220238491067
1abaH	1992-04-24	x-ray diffraction	1.45	1.5245637788704656	1.525378889105392
3nulH	1996-11-27	x-ray diffraction	1.6	1.5262214541272023	1.5266879650352922
1taxH	1998-09-15	x-ray diffraction	1.14	1.5287479358137634	1.5283523148130511
1npkH	1994-07-27	x-ray diffraction	1.8	1.5235079509539498	1.5234925966455175
1c24H	1999-07-22	x-ray diffraction	1.7	1.5207266737672596	1.51954719036927
1dcsH	1998-06-05	x-ray diffraction	1.3	1.5219477153589747	1.5218048938713964
1czfAH	1999-09-02	x-ray diffraction	1.68	1.5167184593599938	1.5161351040186777
1qhvH	1999-05-28	x-ray diffraction	1.51	1.5248449344790496	1.5241364137383302
2driH	1994-09-23	x-ray diffraction	1.6	1.5287441876603445	1.5289549825986697
1a62H	1998-03-05	x-ray diffraction	1.55	1.5220277943801732	1.5220540962785087
1kuhH	1996-02-22	x-ray diffraction	1.6	1.5234828549763184	1.5235284733726342
1bteAH	1998-09-01	x-ray diffraction	1.5	1.5252829821188947	1.5261312696553935
1bs9H	1998-09-01	x-ray diffraction	1.1	1.5193667231259405	1.5198803794425044
1cczH	1999-03-02	x-ray diffraction	1.8	1.522142801388747	1.521290037159853
1atlACH	1995-05-26	x-ray diffraction	1.8	1.5255427893837754	1.525425912821625
1bs0H	1998-08-31	x-ray diffraction	1.65	1.5232686236717936	1.5229808607301287
2actH	1979-11-27	x-ray diffraction	1.7	1.540029681407541	1.5396828650881103
1chdH	1995-03-09	x-ray diffraction	1.75	1.524974824827016	1.5254535160268445
1qjdH	1999-06-23	x-ray diffraction	1.8	1.5226555247477764	1.5228952228164787
1nkrH	1998-06-24	x-ray diffraction	1.7	1.522441907406273	1.5226063281005127
3pteH	1994-08-05	x-ray diffraction	1.6	1.5261971556189662	1.5261570309736257
1xwlH	1998-07-22	x-ray diffraction	1.7	1.5254904520096204	1.5261694734514537
3vubH	1998-04-17	x-ray diffraction	1.4	1.5259759937412514	1.5260050964721017
1dnlH	1999-12-16	x-ray diffraction	1.8	1.5255294893035334	1.5256321259496133
1b8oH	1999-02-02	x-ray diffraction	1.5	1.5250224878937673	1.525609917002226
1nulBH	1996-10-15	x-ray diffraction	1.8	1.525811936176137	1.5255992612199374
3sebH	1997-11-26	x-ray diffraction	1.48	1.5234325334007395	1.5239920797627065
3chyH	1991-04-22	x-ray diffraction	1.66	1.5295442385746585	1.5301097238302193
1c3dH	1998-05-19	x-ray diffraction	1.8	1.5267298676685606	1.5267357671553095
1gcaH	1993-05-13	x-ray diffraction	1.7	1.523916539668531	1.523713079143494
1noxH	1996-11-20	x-ray diffraction	1.59	1.5229996529240446	1.5230731272342417
1nkdH	1997-09-23	x-ray diffraction	1.07	1.5096695445975632	1.5063116360083464
1bi5H	1998-06-22	x-ray diffraction	1.56	1.5236742243674606	1.523701051192953
1a8eH	1998-03-24	x-ray diffraction	1.6	1.5180548857525626	1.5184937221328598
1b6aH	1999-01-13	x-ray diffraction	1.6	1.5232053505156085	1.5228630507621883
1ubpH	1998-01-21	x-ray diffraction	1.65	1.5232838929211103	1.5235362270235133
1qczH	1999-05-10	x-ray diffraction	1.5	nan	1.5286267431221257
1h2rLH	1999-06-14	x-ray diffraction	1.4	1.53032945113358	1.5307522780854137
1aopH	1997-07-08	x-ray diffraction	1.6	1.5289345067478202	1.5291955679829492
1hpmH	1995-03-24	x-ray diffraction	1.7	1.525584199286495	1.525949738122107
1qk5AH	1999-07-09	x-ray diffraction	1.6	1.5254772297215227	1.5259648732966908
1qj4H	1999-06-21	x-ray diffraction	1.1	1.5212453847588663	1.5210677311192968
1lclH	1996-01-18	x-ray diffraction	1.8	1.5246957186990695	1.5239618455463384
1g3pH	1997-12-22	x-ray diffraction	1.46	1.5260982369642269	1.5253852708043028
1ah7H	1997-04-14	x-ray diffraction	1.5	1.5197579331744424	1.5192300504151899
1rcfH	1994-10-31	x-ray diffraction	1.4	1.516710521597575	1.5177152116135155
1thvH	1994-06-10	x-ray diffraction	1.75	1.5146167952479763	1.5144494476685064
1elkAH	2000-03-13	x-ray diffraction	1.5	1.5236678929365797	1.5217630550754542
2nacAH	1994-07-06	x-ray diffraction	1.8	1.5262469043350602	1.523240031404005
1idoH	1996-03-12	x-ray diffraction	1.7	1.5284818699026788	1.5284670525343542
1cv8H	1998-05-08	x-ray diffraction	1.75	1.525617041102293	1.5225271433448038
1pgsH	1994-10-06	x-ray diffraction	1.8	1.5153066511403797	1.5159801925083434
1ra9H	1996-10-28	x-ray diffraction	1.55	1.5177329254520366	1.517157139062265
1yacBH	1998-07-29	x-ray diffraction	1.8	1.525840587858087	1.5264244545364618
1ejgH	2000-03-02	x-ray diffraction	0.54	1.5266944897961194	1.5274519774933495
4lztH	1997-03-31	x-ray diffraction	0.95	1.5161460370749769	1.5171355690135078
2sakH	1997-02-20	x-ray diffraction	1.8	1.524711309942646	1.525095192341722
1bueH	1998-09-03	x-ray diffraction	1.64	1.527283274830889	1.5280716240491743
1bgcH	1993-04-27	x-ray diffraction	1.7	1.5262814528811772	1.5262705650693706
1dozH	1999-12-22	x-ray diffraction	1.8	1.5271538600431291	1.5272720636488746
1gceH	1999-05-17	x-ray diffraction	1.8	nan	1.5281487373843898
1uroH	1998-08-21	x-ray diffraction	1.8	1.529208531699474	1.5292553175339234
1tifH	1995-08-16	x-ray diffraction	1.8	1.5262182623591196	1.5261759399023576
1stnH	1993-02-17	x-ray diffraction	1.7	1.5245158584087377	1.526859583391976
7a3hH	1998-08-05	x-ray diffraction	0.95	1.5205655115199983	1.5206169614850573
1rzlH	1997-10-09	x-ray diffraction	1.6	1.5273784241903032	1.528772708580138
1lstH	1993-02-25	x-ray diffraction	1.8	1.5235287343186712	1.5241114792834776
1bbhAH	1992-05-18	x-ray diffraction	1.8	1.5248396479264907	1.5239376901055013
1uteH	1999-01-18	x-ray diffraction	1.55	1.5238278922776833	1.5239310165553008
1mgtH	1999-01-12	x-ray diffraction	1.8	1.524535856444049	1.5256611614898135
1bu8H	1998-09-14	x-ray diffraction	1.8	1.5252515077393425	1.525669361610748
9wgaAH	1990-04-20	x-ray diffraction	1.8	1.524572760536073	1.523502652938086
1b9wH	1999-02-15	x-ray diffraction	1.8	1.5282672903981291	1.5242599261295877
1mdcH	1992-07-20	x-ray diffraction	1.75	nan	1.5206129284437873
1dxgAH	1997-07-04	x-ray diffraction	1.8	1.520797532433238	1.5193252250317506
6gsvBH	1996-01-26	x-ray diffraction	1.75	1.5288168792200503	1.5277655426668246
2myrH	1997-03-23	x-ray diffraction	1.6	1.5272130652097897	1.527579052574742
1pdaH	1992-11-17	x-ray diffraction	1.76	1.5260246505786834	1.5257846902468055
5icbH	1997-03-05	x-ray diffraction	1.5	1.527533761377511	1.5274504647441116
1qs1AH	1999-06-25	x-ray diffraction	1.5	1.524741233301689	1.525142105586291
1cvlH	1997-01-09	x-ray diffraction	1.6	1.5298309670444181	1.528610787246587
1bf6BH	1998-05-27	x-ray diffraction	1.7	1.5288260580506314	1.529259508708814
1iibAH	1996-12-23	x-ray diffraction	1.8	1.5291932539936035	1.5290582353323032
1byqH	1998-10-19	x-ray diffraction	1.5	1.531516332547427	1.531021724455282
1bx4H	1998-10-13	x-ray diffraction	1.5	1.534877992938429	1.5352227406685226
1mlaH	1995-01-25	x-ray diffraction	1.5	1.524249170697542	1.5243562018541796
3btoAH	1996-11-08	x-ray diffraction	1.66	1.5248988272897346	1.522722516427624
1rieH	1996-02-23	x-ray diffraction	1.5	1.5275359502928367	1.5283571687099857
1aquAH	1997-08-01	x-ray diffraction	1.6	1.532374983146535	1.532405972851489
1narH	1993-09-10	x-ray diffraction	1.8	1.5263276823142522	1.5262485902243492
1fnaH	1994-01-11	x-ray diffraction	1.8	1.5333838866482035	1.533520341914357
1uaeH	1996-09-30	x-ray diffraction	1.8	1.5285975592610286	1.5278976588356028
1fltVH	1997-11-20	x-ray diffraction	1.7	1.528532278634447	1.5267630566954047
1egwAH	2000-02-17	x-ray diffraction	1.5	1.525634534120107	1.5264627074314647
1byiH	1998-10-15	x-ray diffraction	0.97	1.5200007327501284	1.5213440074305837
1qgiH	1999-04-28	x-ray diffraction	1.6	1.5264192902609575	1.5264963136562906
1b0uH	1998-11-12	x-ray diffraction	1.5	nan	1.523785786825624
1tgsIH	1982-09-27	x-ray diffraction	1.8	1.525190366739329	1.5249304876301242
1qauH	1999-03-29	x-ray diffraction	1.25	1.5226344342581524	1.5226469979454906
1d3vAH	1999-10-01	x-ray diffraction	1.7	1.529464411598627	1.5297604581166582
1plcH	1992-03-11	x-ray diffraction	1.33	1.5257656848933732	1.5273394176101587
1bqkH	1998-08-17	x-ray diffraction	1.35	1.5221608965210929	1.5211146198862953
1atgH	1997-08-14	x-ray diffraction	1.2	1.521304740685846	1.520833238145152
1mrjH	1994-07-01	x-ray diffraction	1.6	1.5274059818696222	1.527873438642148
1qksAH	1999-08-04	x-ray diffraction	1.28	1.5236518290169057	1.5239840477565418
