model	date	method	resolution	distance_mean	distance_median
1q6oFH_A	2003-08-13	x-ray diffraction	1.2	1.5248530986369844	1.525039031105998
3fy3FH_A	2009-01-21	x-ray diffraction	1.8	1.5197155610543784	1.519942668865575
3i1aFH_A	2009-06-25	x-ray diffraction	1.7	1.5253943812181263	1.5252280469836776
1vlaFH_C	2004-07-15	x-ray diffraction	1.8	1.5198451292455082	1.5195269192301726
3gxrFH_B	2009-04-02	x-ray diffraction	1.7	1.530674445482638	1.5316105154269342
3ctpFH_B	2008-04-14	x-ray diffraction	1.41	1.5232764450888931	1.5229969463968853
3hqcFH_A	2009-06-05	x-ray diffraction	1.8	1.5254783310894167	1.5269065472477117
1zhxFH_A	2005-04-26	x-ray diffraction	1.5	1.5239608780568967	1.5245317308766575
2j66FH_A	2006-09-26	x-ray diffraction	1.65	nan	1.5239371731845426
2x98FH_B	2010-03-14	x-ray diffraction	1.7	1.5265595821847677	1.5275396894641773
2gbwFH_E	2006-03-12	x-ray diffraction	1.7	1.5265031589409588	1.5267640383442975
3gh5FH_A	2009-03-03	x-ray diffraction	1.6	1.5267043910840974	1.5269764499550733
3ai3FH_C	2010-05-07	x-ray diffraction	1.8	1.5256816537036073	1.5254699332573667
1wzdFH_B	2005-03-04	x-ray diffraction	1.35	1.529019953991474	1.529228551221797
3n9uFH_C	2010-05-31	x-ray diffraction	1.92	1.5300136905612625	1.5301520349666935
3a6sFH_B	2009-09-09	x-ray diffraction	1.8	1.5239446206628804	1.5245015195600045
3ffrFH_A	2008-12-04	x-ray diffraction	1.75	nan	1.5226057939247302
2b4zFH_A	2005-09-27	x-ray diffraction	1.5	1.5236833077720573	1.5239228511666725
1a8sFH_A	1998-03-27	x-ray diffraction	1.8	1.5262805800628347	1.5262261997776718
3mprFH_D	2010-04-27	x-ray diffraction	1.9	1.5241895156912393	1.5239078675330688
1npyFH_B	2003-01-20	x-ray diffraction	1.75	1.523981101346683	1.5241289924867045
1sy7FH_B	2004-04-01	x-ray diffraction	1.75	1.5254205247473214	1.5254965178114026
1v8yFH_A	2004-01-15	x-ray diffraction	1.65	1.5233984558270455	1.523980732092728
3iflFH_H	2009-07-24	x-ray diffraction	1.5	1.522774689390808	1.5225320500390036
3mx6FH_B	2010-05-06	x-ray diffraction	1.7	1.5267502810026155	1.527126403278428
2pfeFH_B	2007-04-04	x-ray diffraction	1.44	1.5237171848303612	1.523868616157395
3ia8FH_B	2009-07-13	x-ray diffraction	1.79	1.5227781023175102	1.5221394324991833
1ogmFH_X	2003-05-07	x-ray diffraction	1.8	1.530119672730989	1.5299705395324454
2hc8FH_A	2006-06-15	x-ray diffraction	1.65	1.5271881634467603	1.5269429507140246
2qmcFH_D	2007-07-15	x-ray diffraction	1.55	1.5242835658512777	1.5236492819861247
3k6yFH_A	2009-10-10	x-ray diffraction	1.3	1.521862034058108	1.5217039229937959
2hujFH_A	2006-07-26	x-ray diffraction	1.74	1.5259687151159735	1.5248809802087504
1sa3FH_A	2004-02-06	x-ray diffraction	1.95	1.5243682025968	1.524370557895907
1xu9FH_C	2004-10-25	x-ray diffraction	1.55	1.5253538878053081	1.5256447996329177
1b80FH_A	1999-02-03	x-ray diffraction	1.73	1.5217527682123773	1.5219288012851544
3g46FH_B	2009-02-03	x-ray diffraction	0.91	1.5232811813691167	1.5235956232749248
3h1nFH_A	2009-04-13	x-ray diffraction	1.83	1.5296246900680763	1.530020104331269
3mf7FH_A	2010-04-01	x-ray diffraction	1.65	1.5269817632284655	1.5266688190729114
2zodFH_A	2008-05-09	x-ray diffraction	1.98	1.5255097896663696	1.5255529357169346
3hu5FH_A	2009-06-12	x-ray diffraction	1.5	1.5256768415003852	1.524844800716213
1xw6FH_A	2004-10-29	x-ray diffraction	1.9	1.5262530859193104	1.5271566310812499
2qmmFH_A	2007-07-16	x-ray diffraction	1.85	1.5283027901771638	1.5272714209021596
2z9bFH_A	2007-09-18	x-ray diffraction	1.7	1.5251122191033182	1.5254831267419273
2rk5FH_A	2007-10-16	x-ray diffraction	1.5	1.52226038178738	1.5219425087445182
2cm5FH_A	2006-05-04	x-ray diffraction	1.28	1.522811634996578	1.523413498295527
3c3mFH_A	2008-01-28	x-ray diffraction	1.7	1.5280766443586422	1.527423674960663
1b0uFH_A	1998-11-12	x-ray diffraction	1.5	nan	1.523785786825624
3fp2FH_A	2009-01-03	x-ray diffraction	1.98	1.5321416068132616	1.530735114332892
2etvFH_A	2005-10-27	x-ray diffraction	1.7	1.5283640842239519	1.5282924702794762
2ccqFH_A	2006-01-17	x-ray diffraction	1.6	1.5254447855431565	1.5258525159604097
2yztFH_A	2007-05-06	x-ray diffraction	1.8	1.5231755689655038	1.523751254172511
3o91FH_C	2010-08-03	x-ray diffraction	1.63	1.5288591143974775	1.5292625994880904
1r6jFH_A	2003-10-15	x-ray diffraction	0.73	1.5244708611634445	1.5248777836094396
2jk9FH_A	2008-08-22	x-ray diffraction	1.79	1.528305313999305	1.5285143384440232
3cpsFH_B	2008-04-01	x-ray diffraction	1.9	1.5279399163344878	1.5279548379251613
1oktFH_A	2003-07-29	x-ray diffraction	1.9	1.5256698009977308	1.5261821892661673
2yzyFH_A	2007-05-06	x-ray diffraction	1.6	1.5226554348334969	1.5233387577356752
3djhFH_C	2008-06-23	x-ray diffraction	1.25	1.5243982583287956	1.5246152572657343
2qeuFH_C	2007-06-26	x-ray diffraction	1.65	1.5305960716934317	1.5308143537690935
3d0jFH_A	2008-05-01	x-ray diffraction	1.53	1.5231081627240106	1.5231207498246488
1ynbFH_C	2005-01-24	x-ray diffraction	1.76	1.5266903318774827	1.52733021553908
3h11FH_A	2009-04-10	x-ray diffraction	1.9	1.526653546969533	1.5262817504255224
2p2sFH_A	2007-03-07	x-ray diffraction	1.25	nan	1.517595979580234
3eqnFH_B	2008-10-01	x-ray diffraction	1.7	1.525518578259157	1.5257015603802013
1w4vFH_B	2004-07-30	x-ray diffraction	1.8	1.5239699346898767	1.5250732102878943
2r4gFH_A	2007-08-31	x-ray diffraction	1.71	1.5272073276999152	1.5277718402986036
3lufFH_B	2010-02-17	x-ray diffraction	1.76	1.526694626628348	1.5266580863653383
3no5FH_B	2010-06-24	x-ray diffraction	1.9	1.5316716622487698	1.5317677661900537
2gyqFH_B	2006-05-09	x-ray diffraction	1.4	1.530156522666645	1.530352454058433
3fiuFH_D	2008-12-12	x-ray diffraction	1.85	1.5279954959731612	1.5268783955017655
3lxrFH_F	2010-02-25	x-ray diffraction	1.68	1.5274956661247925	1.5286220364306504
3ot2FH_B	2010-09-10	x-ray diffraction	1.96	1.530739988764497	1.5320795174537598
1kzqFH_A	2002-02-07	x-ray diffraction	1.7	1.5226125399798682	1.5228983940267586
3dmeFH_B	2008-06-30	x-ray diffraction	1.7	1.5245722647031283	1.5249457268488666
2bcmFH_B	2005-10-19	x-ray diffraction	1.48	1.5230088478555945	1.5228276564804486
2v03FH_A	2007-05-08	x-ray diffraction	1.33	1.523351947409085	1.52393770888983
3kdwFH_A	2009-10-23	x-ray diffraction	1.7	1.5283059246421287	1.5278137448632019
3p1gFH_A	2010-09-30	x-ray diffraction	1.5	1.52389768961141	1.524496993997031
1e6iFH_A	2000-08-18	x-ray diffraction	1.87	nan	1.5289373684437535
3n72FH_B	2010-05-26	x-ray diffraction	1.77	1.5261028219195354	1.5253249927178119
2xocFH_B	2010-08-11	x-ray diffraction	1.89	1.525804124978848	1.5258359680353109
3h0uFH_C	2009-04-10	x-ray diffraction	1.5	1.5254769134610155	1.525899882656352
2xskFH_A	2010-09-29	x-ray diffraction	1.7	1.5275341186356444	1.527484051437943
1oc7FH_A	2003-02-06	x-ray diffraction	1.11	1.520770134766874	1.5209662924933205
3ecfFH_B	2008-08-29	x-ray diffraction	1.9	1.5263919194724231	1.5267802713697678
2jg6FH_A	2007-02-08	x-ray diffraction	1.7	1.52858996092763	1.5285059365051912
3h4oFH_A	2009-04-20	x-ray diffraction	1.5	1.527306603582458	1.527515429500535
1tzyFH_F	2004-07-12	x-ray diffraction	1.9	1.5300530739268825	1.5284263001905904
1mgrFH_A	2002-08-16	x-ray diffraction	1.7	1.5231768303897417	1.5259358035155541
2p0uFH_A	2007-03-01	x-ray diffraction	1.9	1.5249094772891052	1.5254923334972394
2gagFH_C	2006-03-08	x-ray diffraction	1.85	1.525925243808223	1.526129551142795
3fjvFH_A	2008-12-15	x-ray diffraction	1.9	1.528744485014419	1.5302825418500454
3ihuFH_A	2009-07-30	x-ray diffraction	1.92	1.5288171691408468	1.5286027888020475
1o3uFH_A	2003-03-28	x-ray diffraction	1.75	1.5284336710550632	1.5296026296138217
3ioqFH_A	2009-08-14	x-ray diffraction	1.87	1.527249558989067	1.5268454312010686
2fdxFH_A	1996-12-24	x-ray diffraction	1.65	1.5252241506045507	1.5242823015768296
3l91FH_B	2010-01-04	x-ray diffraction	1.66	1.527436412354073	1.528411325955978
3hf5FH_C	2009-05-11	x-ray diffraction	1.4	1.5221488911544705	1.5210936087770484
2he2FH_A	2006-06-21	x-ray diffraction	1.5	1.5240553905591159	1.5243360127128138
1uspFH_B	2003-11-27	x-ray diffraction	1.9	1.5252637693063944	1.5255426929641431
1oh9FH_A	2003-05-23	x-ray diffraction	1.91	1.5242384251813241	1.5247124015088511
2xf7FH_A	2010-05-20	x-ray diffraction	1.61	1.533174212932958	1.5299065587386353
3l9wFH_B	2010-01-05	x-ray diffraction	1.75	1.527431922327419	1.5276833293377352
3fj2FH_A	2008-12-12	x-ray diffraction	1.85	1.525355131464616	1.5257721619283495
2wn3FH_C	2009-07-07	x-ray diffraction	1.59	1.522714132062361	1.5221279335521305
3m0fFH_A	2010-03-03	x-ray diffraction	1.6	1.525252947740081	1.5252335164223874
1z84FH_A	2005-03-29	x-ray diffraction	1.83	1.5282676595783404	1.5277891423529848
1dbwFH_B	1999-11-03	x-ray diffraction	1.6	1.5239574262432174	1.524686627799732
1i0vFH_A	2001-01-30	x-ray diffraction	1.23	1.5214006653111742	1.5222306385912954
2xu8FH_B	2010-10-15	x-ray diffraction	1.98	1.528307623760664	1.5287518102991888
3p3oFH_A	2010-10-05	x-ray diffraction	1.54	1.5252623845065674	1.5262397396769813
3ge6FH_A	2009-02-25	x-ray diffraction	1.85	1.5292699754418717	1.5296869952367567
3fm0FH_A	2008-12-19	x-ray diffraction	1.7	1.5246815300424397	1.5240652451224659
3h7oFH_B	2009-04-28	x-ray diffraction	1.85	1.527383638205359	1.5277706476621637
2v1wFH_B	2007-05-30	x-ray diffraction	1.9	1.5239742747687905	1.523496152736713
2pywFH_A	2007-05-16	x-ray diffraction	1.9	1.5313828085517946	1.531615727684999
3d0nFH_A	2008-05-02	x-ray diffraction	1.55	1.5235736347191786	1.5239709614244836
2gg6FH_A	2006-03-23	x-ray diffraction	1.64	1.5244351011497121	1.524335023360329
3o3mFH_C	2010-07-25	x-ray diffraction	1.82	1.5267835480374925	1.5266938076908936
2pfxFH_A	2007-04-05	x-ray diffraction	1.7	1.5214778552095973	1.5215425848977544
1vykFH_A	2004-04-30	x-ray diffraction	1.49	1.524220127940697	1.5246133736673517
3a8gFH_A	2009-10-06	x-ray diffraction	1.11	1.520454040910454	1.5205136154662782
1xkiFH_A	2004-09-29	x-ray diffraction	1.8	1.5295523441322965	1.5294200473676125
1n9lFH_A	2002-11-25	x-ray diffraction	1.9	1.5251632969175168	1.5263113518764686
3ct6FH_A	2008-04-11	x-ray diffraction	1.1	1.5171496889745761	1.5172791608450389
1uw4FH_D	2004-01-29	x-ray diffraction	1.95	1.532356213324151	1.53234821324845
3lr2FH_A	2010-02-10	x-ray diffraction	1.7	1.529732182775812	1.529026422089151
2bkxFH_A	2005-02-21	x-ray diffraction	1.4	1.5221749402099503	1.5228542310093427
2vigFH_A	2007-11-30	x-ray diffraction	1.9	1.5294408710047338	1.5292679821632096
3f7wFH_A	2008-11-10	x-ray diffraction	1.85	1.5272166452016134	1.5269060827070853
1t82FH_C	2004-05-11	x-ray diffraction	1.7	1.5236198447013705	1.5237758688536396
3fd3FH_A	2008-11-24	x-ray diffraction	1.7	1.5241120080702677	1.5254151828660625
3jqjFH_C	2009-09-07	x-ray diffraction	1.9	1.5240619200251608	1.5246511976591157
2ozlFH_A	2007-02-26	x-ray diffraction	1.9	1.525960960921715	1.52631013035601
3balFH_B	2007-11-08	x-ray diffraction	1.95	1.527332163224101	1.5277250920973473
3eufFH_D	2008-10-10	x-ray diffraction	1.9	1.5314733957232405	1.5318037726495497
2cw5FH_B	2005-06-16	x-ray diffraction	1.94	1.524118998931607	1.524336772837374
1y9lFH_A	2004-12-15	x-ray diffraction	1.5	1.5233209585006489	1.521856288700508
1uwfFH_A	2004-02-05	x-ray diffraction	1.69	1.5238566591477123	1.5238484851078722
2iorFH_A	2006-10-10	x-ray diffraction	1.65	1.523759856160459	1.522711671873835
3h8uFH_B	2009-04-29	x-ray diffraction	1.8	1.5235729458146121	1.522791575343776
2cb9FH_A	2006-01-03	x-ray diffraction	1.8	1.5254871232716425	1.5258357157083142
3k3vFH_A	2009-10-05	x-ray diffraction	1.8	1.5274630374687925	1.5279716546992046
1s99FH_A	2004-02-04	x-ray diffraction	1.65	1.5254684732177461	1.5244498021731863
3do6FH_A	2008-07-03	x-ray diffraction	1.85	1.523818295006735	1.5234850630387853
3a21FH_A	2009-04-27	x-ray diffraction	1.51	1.5245134905436497	1.5245903390346136
2b3gFH_A	2005-09-20	x-ray diffraction	1.6	1.5254920938491805	1.526264969306182
2x5pFH_A	2010-02-10	x-ray diffraction	1.6	1.5226424339256301	1.5231869662213557
2b9wFH_A	2005-10-13	x-ray diffraction	1.95	1.5287426149864145	1.5285763302714725
2fpeFH_A	2006-01-16	x-ray diffraction	1.75	1.5240069133921341	1.5245941790517266
2wuxFH_A	2009-10-10	x-ray diffraction	1.84	1.5241794556657584	1.5247325232540758
1hmtFH_A	1994-01-02	x-ray diffraction	1.4	1.5237887672656978	1.5243507711207196
2gw3FH_B	2006-05-03	x-ray diffraction	1.4	1.5220231256313514	1.5218895912429486
3d5pFH_A	2008-05-16	x-ray diffraction	1.45	1.517913160356993	1.5186692770075154
3o72FH_C	2010-07-30	x-ray diffraction	1.95	1.5254967184385042	1.5255722591520804
3a3dFH_B	2009-06-12	x-ray diffraction	1.6	1.526046650384667	1.5267262958319994
1juvFH_A	2001-08-28	x-ray diffraction	1.7	1.5228194534384374	1.5231990879364001
3lccFH_A	2010-01-10	x-ray diffraction	1.8	1.5262957049293442	1.5260560587109855
2pa1FH_A	2007-03-27	x-ray diffraction	1.7	1.5276041749233495	1.5280551172295895
3berFH_A	2007-11-20	x-ray diffraction	1.4	1.524251552931171	1.5241574655136474
3c5cFH_C	2008-01-31	x-ray diffraction	1.85	1.528858530745505	1.5292044752264364
3pfsFH_A	2010-10-29	x-ray diffraction	1.9	1.5281425349828723	1.5284513194295333
2c7pFH_A	2005-11-25	x-ray diffraction	1.7	1.5249665259723697	1.5247131478106026
1wldFH_A	2004-06-22	x-ray diffraction	1.6	1.5245717060516393	1.5247774303567319
2x9zFH_A	2010-03-25	x-ray diffraction	1.3	1.5241035125950986	1.5242666895101369
3bsnFH_A	2007-12-26	x-ray diffraction	1.8	1.527723138059863	1.5281649523970824
3adoFH_A	2010-01-26	x-ray diffraction	1.7	1.5246037852351766	1.5250191549460586
3n8uFH_A	2010-05-28	x-ray diffraction	1.44	1.5298535832977715	1.530100247533479
3g2sFH_B	2009-02-01	x-ray diffraction	1.7	1.5287183333931635	1.5287442313249977
3lwxFH_A	2010-02-24	x-ray diffraction	1.1	1.5244557343687	1.524045178551853
2qjvFH_B	2007-07-09	x-ray diffraction	1.9	1.5313264674063356	1.530192862747846
3bpjFH_B	2007-12-18	x-ray diffraction	1.85	1.5302581102655126	1.528408005918384
2at8FH_X	2005-08-24	x-ray diffraction	1.0	1.520759126119518	1.5208246099477356
3orvFH_D	2010-09-07	x-ray diffraction	1.91	1.5288097302926984	1.5272933029152786
2jkoFH_A	2008-08-28	x-ray diffraction	1.65	1.5276370659309262	1.5280242904483403
1xvgFH_C	2004-10-27	x-ray diffraction	1.96	1.526860228826929	1.5269997214261815
1fp2FH_A	2000-08-29	x-ray diffraction	1.4	1.5269353787921838	1.5271254596915809
1hzoFH_A	2001-01-25	x-ray diffraction	1.75	1.5251019743263536	1.525578730742208
3ctgFH_A	2008-04-14	x-ray diffraction	1.5	1.5230609991971886	1.5242500541845683
3mioFH_A	2010-04-11	x-ray diffraction	1.8	1.5280506958119877	1.526707369928672
1rliFH_A	2003-11-25	x-ray diffraction	1.8	1.5253884078257305	1.5257453831317909
1ry9FH_C	2003-12-20	x-ray diffraction	1.82	1.5247241890661163	1.5245271529549222
2xtsFH_B	2010-10-12	x-ray diffraction	1.33	nan	1.524144914984141
3mjoFH_B	2010-04-13	x-ray diffraction	1.36	1.5216036672948454	1.52185147692614
2hykFH_A	2006-08-07	x-ray diffraction	1.3	1.5230392688155716	1.5226407678659657
3etfFH_C	2008-10-07	x-ray diffraction	1.85	1.5286536141957248	1.529022746160215
2qisFH_A	2007-07-05	x-ray diffraction	1.8	1.5297768184502887	1.5300608943982006
3qooFH_A	2011-02-10	x-ray diffraction	1.25	1.5201068047152588	1.5204450703650931
3hmzFH_A	2009-05-29	x-ray diffraction	1.5	1.524862409668762	1.5243313521580637
3pveFH_A	2010-12-07	x-ray diffraction	1.4	1.5220715106535274	1.5204186547408405
2w8xFH_A	2009-01-20	x-ray diffraction	1.6	1.5221896665874346	1.5220102839385308
2v26FH_A	2007-06-03	x-ray diffraction	1.75	1.5280519097613527	1.5283631128594746
1rq2FH_B	2003-12-04	x-ray diffraction	1.86	1.5237518573026958	1.5234517997208914
2wy3FH_A	2009-11-11	x-ray diffraction	1.8	1.5236901196959451	1.523618961820179
2g2cFH_A	2006-02-15	x-ray diffraction	1.5	1.526278919618037	1.5264956236421314
2dqlFH_A	2006-05-29	x-ray diffraction	1.7	1.5247543452583303	1.525122085677344
2v25FH_A	2007-06-01	x-ray diffraction	1.49	1.5233532998563608	1.5236827442679592
3gedFH_A	2009-02-25	x-ray diffraction	1.7	1.5246659944854872	1.5254801483747245
2i13FH_B	2006-08-12	x-ray diffraction	1.96	1.5316361721538283	1.5333995906628828
2gwnFH_A	2006-05-04	x-ray diffraction	1.85	1.5275846497641825	1.528265234718145
2je6FH_A	2007-01-15	x-ray diffraction	1.6	1.5222267032545465	1.5224172829413751
2wweFH_A	2009-10-22	x-ray diffraction	1.25	1.5225844839659262	1.5226802638014814
2zwdFH_A	2008-12-03	x-ray diffraction	1.35	1.520667093983917	1.521353466582459
3gqhFH_A	2009-03-24	x-ray diffraction	1.8	1.5248599483900702	1.525135717260504
2bjfFH_A	2005-02-02	x-ray diffraction	1.67	1.5270941267868854	1.5275358472904017
2pytFH_A	2007-05-16	x-ray diffraction	1.9	1.5231137730411282	1.5226132390878098
1n7eFH_A	2002-11-14	x-ray diffraction	1.5	1.523942042203635	1.5237853073228889
3necFH_B	2010-06-08	x-ray diffraction	1.7	1.5215961245276453	1.5220175476314948
3mteFH_A	2010-04-30	x-ray diffraction	1.8	1.524637003448993	1.5249640377649607
2a0mFH_A	2005-06-16	x-ray diffraction	1.6	1.5302255444615585	1.530466224030186
2o62FH_A	2006-12-06	x-ray diffraction	1.75	1.5204721528858456	1.5213765371225914
3cn4FH_B	2008-03-24	x-ray diffraction	1.4	1.520484321757077	1.5218392388600521
1yarFH_N	2004-12-17	x-ray diffraction	1.9	1.5275121603383373	1.5270335805854292
1odmFH_A	2003-02-19	x-ray diffraction	1.15	1.5245205297312718	1.5246590932010586
3kwsFH_A	2009-12-01	x-ray diffraction	1.68	1.5266192359517576	1.5273346187478736
3f75FH_P	2008-11-07	x-ray diffraction	1.99	1.5277444246358063	1.5278387336297323
3q60FH_A	2010-12-30	x-ray diffraction	1.72	1.5257916076302762	1.527052028389007
3lmdFH_A	2010-01-29	x-ray diffraction	1.9	1.5282623812519551	1.5288618021174794
3ig9FH_C	2009-07-27	x-ray diffraction	1.9	1.5230324582837365	1.5230730708949478
3bomFH_C	2007-12-17	x-ray diffraction	1.35	1.5282687558095513	1.5277554217756113
1smxFH_B	2004-03-09	x-ray diffraction	1.8	1.5253453276803994	1.526089597580361
1oflFH_A	2003-04-15	x-ray diffraction	1.7	1.5240347515590502	1.5229821471102347
2qe6FH_B	2007-06-22	x-ray diffraction	1.95	1.5268828166472137	1.5274989302761384
3k2oFH_A	2009-09-30	x-ray diffraction	1.75	1.5445555663798558	1.5433488617576876
1usgFH_A	2003-11-24	x-ray diffraction	1.53	nan	1.5219398296384996
1v3rFH_A	2003-11-05	x-ray diffraction	1.85	1.5233152224457844	1.5233340450098338
2r2dFH_A	2007-08-24	x-ray diffraction	1.75	1.5281584924736809	1.5274136155046112
2v5iFH_A	2007-07-05	x-ray diffraction	1.6	1.5247384018354733	1.5247446623430723
1vk4FH_A	2004-04-26	x-ray diffraction	1.91	1.5266831235647231	1.5264795526513595
1rzhFH_M	2003-12-24	x-ray diffraction	1.8	1.525084100074945	1.5256147699040956
1vi6FH_B	2003-12-01	x-ray diffraction	1.95	1.5258321812452298	1.5262220822664379
2hcfFH_A	2006-06-16	x-ray diffraction	1.8	1.5276334333464852	1.5282618444440632
3f09FH_A	2008-10-24	x-ray diffraction	1.82	1.5243270134403502	1.5248767428850045
3letFH_A	2010-01-15	x-ray diffraction	1.8	1.525935093160973	1.525663755333929
2w2kFH_A	2008-11-02	x-ray diffraction	1.85	1.5379034124966966	1.5374900179041933
3dz4FH_B	2008-07-29	x-ray diffraction	1.84	1.525585694221189	1.5261320786122778
2zsgFH_B	2008-09-10	x-ray diffraction	1.65	1.524168029073438	1.5245134107721154
3b84FH_A	2007-10-31	x-ray diffraction	1.74	1.5251529920596345	1.5255704866409592
1z7gFH_B	2005-03-24	x-ray diffraction	1.9	1.5253749991894456	1.5253592487026808
3gpiFH_A	2009-03-23	x-ray diffraction	1.44	1.5227691196150022	1.5225702170696607
1wwzFH_B	2005-01-19	x-ray diffraction	1.75	1.523286309180002	1.5237296964134657
2anyFH_A	2005-08-11	x-ray diffraction	1.4	1.529900809634347	1.5291729581269187
3hn0FH_A	2009-05-29	x-ray diffraction	1.75	1.5250015919422806	1.5240415938523941
1deuFH_A	1999-11-15	x-ray diffraction	1.7	1.5246648781752243	1.5251839939926524
3ag3FH_C	2010-03-19	x-ray diffraction	1.8	1.5287593890125728	1.5308556075597606
3ejuFH_A	2008-09-18	x-ray diffraction	1.32	1.5310426430562565	1.5311736090864296
3c9uFH_B	2008-02-18	x-ray diffraction	1.48	1.523647438202337	1.5240936432451226
2d6mFH_A	2005-11-14	x-ray diffraction	1.6	1.5210370288000652	1.5207229507308544
2p4oFH_A	2007-03-12	x-ray diffraction	1.9	1.5233928384507913	1.5229340878188582
